Year,Country,NUTS2_Code,Econ_Freedom,Pop,GDP_Millions_Euro,Total_Household_Income,Tourism_NightStays,Flight_Arrivals,Year_PostBudget,Tourism_Employed
2008,PL,PL42,60.3,1692271,:,:,"7,986,278",:,0,
2009,PL,PL42,60.3,1692957,:,:,"7,752,574",:,0,
2010,PL,PL42,63.2,1696985,:,:,"7,436,991",:,0,
2011,PL,PL42,64.1,1697166,:,:,"7,693,066",122,0,
2012,PL,PL42,64.2,1695822,:,:,"8,413,371",171,0,
2013,PL,PL42,66,1694560,:,:,"8,518,365",160,0,
2014,PL,PL42,67,1691400,"15,383.19",:,"9,093,763",149,0,
2015,PL,PL42,68.6,1688486,"16,213.72","10,688.29","9,368,421",202,0,
2016,PL,PL42,69.3,1684025,"15,898.68","10,954.33","10,119,309",233,0,
2017,PL,PL42,68.3,1681246,"17,267.26","10,964.43","10,596,002",287,0,
2007,PL,PL51,58.1,2882317,:,:,"3,958,394",627,0,
2008,PL,PL51,60.3,2878410,:,:,"4,100,098",734,0,
2009,PL,PL51,60.3,2877059,:,:,"3,836,459",659,0,
2010,PL,PL51,63.2,2876509,:,:,"3,797,675",796,1,
2011,PL,PL51,64.1,2878103,:,:,"3,970,628",806,1,
2012,PL,PL51,64.2,2876855,:,:,"4,589,293",968,1,
2013,PL,PL51,66,2875180,:,:,"4,813,924",929,1,
2014,PL,PL51,67,2869579,"34,802.64",:,"5,269,694","1,016",1,
2015,PL,PL51,68.6,2868338,"36,272.85","20,449.78","5,672,955","1,130",1,
2016,PL,PL51,69.3,2864624,"35,711.83","21,015.03","6,759,784","1,183",1,
2017,PL,PL51,68.3,2866218,"39,000.07","21,138.84","7,048,440","1,402",1,
2007,PL,PL61,58.1,2066371,:,:,"2,617,631",:,0,
2008,PL,PL61,60.3,2066136,:,:,"2,703,163",:,0,
2009,PL,PL61,60.3,2067918,:,:,"2,684,385",:,0,
2010,PL,PL61,63.2,2074489,:,:,"2,491,828",:,0,
2011,PL,PL61,64.1,2075129,:,:,"2,625,491",137,0,
2012,PL,PL61,64.2,2074398,:,:,"2,944,558",167,0,
2013,PL,PL61,66,2072655,:,:,"2,990,385",169,0,
2014,PL,PL61,67,2068417,"18,177.61",:,"3,100,551",159,0,
2015,PL,PL61,68.6,2065846,"19,060.80","12,021.60","3,385,975",169,0,
2016,PL,PL61,69.3,2062006,"18,872.35","12,178.96","3,627,530",168,0,
2017,PL,PL61,68.3,2060575,"20,505.81","12,333.38","3,980,768",165,0,
2007,PL,PL63,58.1,2203595,:,:,"5,418,395",843,0,
2008,PL,PL63,60.3,2210920,:,:,"5,535,409",969,0,
2009,PL,PL63,60.3,2219512,:,:,"5,181,347",939,0,
2010,PL,PL63,63.2,2234955,:,:,"5,012,885","1,106",0,
2011,PL,PL63,64.1,2245568,:,:,"4,969,296","1,218",0,
2012,PL,PL63,64.2,2253048,:,:,"5,510,603","1,382",0,
2013,PL,PL63,66,2259485,:,:,"5,591,524","1,389",0,
2014,PL,PL63,67,2264817,"23,385.64",:,"6,023,550","1,719",0,
2015,PL,PL63,68.6,2271559,"24,789.17","15,209","6,758,417","2,011",0,
2016,PL,PL63,69.3,2277059,"24,854.72","15,523.29","7,448,649","2,184",0,
2017,PL,PL63,68.3,2285800,"27,257.09","15,602.54","7,855,807","2,517",0,
2007,PL,PL71,58.1,2566198,:,:,"1,460,185",:,0,
2008,PL,PL71,60.3,2555898,:,:,"1,601,782",:,0,
2009,PL,PL71,60.3,2548861,:,:,"1,649,944",:,0,
2010,PL,PL71,63.2,2535866,:,:,"1,687,813",:,0,
2011,PL,PL71,64.1,2528674,:,:,"1,713,577",189,0,
2012,PL,PL71,64.2,2519448,:,:,"1,814,085",228,0,
2013,PL,PL71,66,2510409,:,:,"1,733,701",173,0,
2014,PL,PL71,67,2498861,"25,108",:,"1,808,889",126,0,
2015,PL,PL71,68.6,2489844,"26,146.04","16,225.89","1,934,412",142,0,
2016,PL,PL71,69.3,2479350,"25,778.40","16,466.86","1,982,342",121,0,
2017,PL,PL71,68.3,2471620,"28,184.49","16,530.53","1,977,944",104,0,
2007,PL,PL82,58.1,2097564,:,:,"1,622,503",:,0,
2008,PL,PL82,60.3,2097338,:,:,"1,739,537",:,0,
2009,PL,PL82,60.3,2099495,:,:,"1,799,484",:,0,
2010,PL,PL82,63.2,2081154,:,:,"1,905,361",:,0,
2011,PL,PL82,64.1,2083487,:,:,"1,955,199",243,0,
2012,PL,PL82,64.2,2083852,:,:,"2,136,792",278,0,
2013,PL,PL82,66,2085063,:,:,"2,137,288",289,0,
2014,PL,PL82,67,2083546,"16,095.20",:,"2,319,053",297,0,
2015,PL,PL82,68.6,2084264,"16,867.51","10,651.48","2,559,234",319,0,
2016,PL,PL82,69.3,2083496,"16,630.87","10,885.97","2,838,308",329,0,
2017,PL,PL82,68.3,2084722,"18,064.13","10,922.49","3,081,291",321,0,
2007,PL,PL91,58.1,2844436.1,:,:,"3,282,161","4,606",0,
2008,PL,PL91,60.3,2853668.4,:,:,"3,600,412","4,733",0,
2009,PL,PL91,60.3,2862472.25,:,:,"3,476,874","4,169",0,
2010,PL,PL91,63.2,2869672.85,:,:,"3,949,767","4,358",0,
2011,PL,PL91,64.1,2882265.65,:,:,"3,882,121","4,674",0,
2012,PL,PL91,64.2,2891724,:,:,"3,934,919","4,811",0,
2013,PL,PL91,66,2901865.45,:,:,"4,152,640","5,338",0,
2014,PL,PL91,67,2937140,"69,964.24",:,"4,464,652","6,149",0,
2015,PL,PL91,68.6,2960058,"72,837.97","35,451.57","4,712,248","6,925",0,
2016,PL,PL91,69.3,2979942,"72,653.76","36,357.88","5,360,921","7,875",0,
2017,PL,PL91,68.3,3002278,"80,327.60","36,911.21","4,827,541","9,356",0,
2007,PT,PT11,64,3719898,"49,219.74",:,"3,423,932","2,018",0,
2008,PT,PT11,63.9,3719773,"50,458.22","32,421.21","3,244,960","2,278",0,
2009,PT,PT11,64.9,3712554,"49,209.51","33,570.72","3,291,363","2,264",0,
2010,PT,PT11,64.4,3705980,"50,843.69","33,014.29","3,191,668","2,660",1,
2011,PT,PT11,64,3693585,"49,997.33","33,466.36","3,131,147","3,015",1,
2012,PT,PT11,63,3687224,"48,538.10","32,014.89","3,031,204","3,034",1,
2013,PT,PT11,63.1,3666234,"49,404.28","30,640.29","3,211,886","3,201",1,
2014,PT,PT11,63.5,3644195,"50,775.77","31,434.99","3,409,372","3,490",1,
2015,PT,PT11,65.3,3621785,"52,739.85","32,006.10","3,772,943","4,094",1,
2016,PT,PT11,65.1,3603778,"55,049.38","33,229.98","4,128,323","4,744",1,
2017,PT,PT11,62.6,3584575,"57,240.64","34,187.24","4,318,055","5,474",1,
2007,PT,PT15,64,428798,"7,653.13",:,"4,529,963","2,741",0,
2008,PT,PT15,63.9,434556,"7,848.16","5,207.54","4,698,675","2,737",0,
2009,PT,PT15,64.9,440088,"7,448.50","5,363.13","4,814,264","2,542",0,
2010,PT,PT15,64.4,445824,"7,540.90","5,270.08","4,886,906","2,692",1,
2011,PT,PT15,64,451304,"7,347.35","5,115.10","4,775,711","2,817",1,
2012,PT,PT15,63,446140,"7,135.28","4,841.18","4,377,721","2,856",1,
2013,PT,PT15,63.1,444390,"7,189.21","4,687.62","4,294,255","3,010",1,
2014,PT,PT15,63.5,442358,"7,500.62","4,735.17","4,951,308","3,110",1,
2015,PT,PT15,65.3,441468,"7,893.80","4,933.38","4,771,837","3,253",1,
2016,PT,PT15,65.1,441929,"8,500.99","5,099.74","4,943,881","3,839",1,
2017,PT,PT15,62.6,441469,"9,014.99","5,388.71","5,180,823","4,383",1,
2007,PT,PT16,64,2348308,"33,206.86",:,"4,466,748",:,0,
2008,PT,PT16,63.9,2345981,"33,236.37","21,537.61","4,461,067",:,0,
2009,PT,PT16,64.9,2341807,"32,941.16","22,222.94","4,374,739",:,0,
2010,PT,PT16,64.4,2337787,"33,649.96","21,975.05","4,459,465",:,0,
2011,PT,PT16,64,2331642,"32,918.77","22,168.93","4,154,229",:,0,
2012,PT,PT16,63,2316169,"31,806.05","21,131.32","3,883,563",:,0,
2013,PT,PT16,63.1,2298938,"32,176.80","20,268.24","3,616,939",:,0,
2014,PT,PT16,63.5,2281164,"32,631.96","20,666.21","3,693,432",:,0,
2015,PT,PT16,65.3,2263992,"34,193.62","20,835.47","4,124,570",:,0,
2016,PT,PT16,65.1,2256364,"35,342.22","21,538.24","4,508,611",:,0,
2017,PT,PT16,62.6,2243934,"36,755.69","21,878.37","4,619,680",7,0,
2007,PT,PT17,64,2759501,"65,589.57",:,"3,720,446","6,764",0,
2008,PT,PT17,63.9,2775675,"67,278.83","40,659.98","3,785,053","6,824",0,
2009,PT,PT17,64.9,2792105,"66,244.97","42,173.10","3,661,452","6,620",0,
2010,PT,PT17,64.4,2808205,"67,653.26","41,178.11","3,924,898","7,026",0,
2011,PT,PT17,64,2822761,"66,073.05","42,837.24","3,979,974","7,407",0,
2012,PT,PT17,63,2827050,"62,276.31","41,140.03","3,834,982","7,652",0,
2013,PT,PT17,63.1,2818388,"62,790.79","38,970.43","3,857,487","8,018",0,
2014,PT,PT17,63.5,2807525,"63,194.11","39,679.26","4,220,501","9,105",1,
2015,PT,PT17,65.3,2809168,"64,823.29","39,200.22","4,436,392","10,081",1,
2016,PT,PT17,65.1,2812678,"66,955.92","39,945.80","4,569,887","11,280",1,
2017,PT,PT17,62.6,2821349,"69,977.65","40,729.43","4,754,812","13,408",1,
2007,PT,PT18,64,769333,"11,818.85",:,"1,713,106",:,0,
2008,PT,PT18,63.9,767535,"11,781.04","7,329.23","1,622,146",:,0,
2009,PT,PT18,64.9,764652,"11,343.51","7,558.20","1,732,323",:,0,
2010,PT,PT18,64.4,762068,"11,798.65","7,521.33","1,722,485",:,0,
2011,PT,PT18,64,758707,"11,526.10","7,444.76","1,692,994",2,0,
2012,PT,PT18,63,754385,"10,929.90","7,109.10","1,570,963",1,0,
2013,PT,PT18,63.1,748699,"10,895.02","6,740.36","1,748,362",2,0,
2014,PT,PT18,63.5,743306,"11,104.39","6,808.36","1,907,118",0,0,
2015,PT,PT18,65.3,733370,"11,940.52","6,904.35","2,071,495",0,0,
2016,PT,PT18,65.1,724391,"12,120.97","7,096.18","2,320,869",0,0,
2017,PT,PT18,62.6,718087,"12,736.41","7,254.44","2,559,965",1,0,
2007,PT,PT20,64,245671,"3,603.47",:,"577,384",934,0,
2008,PT,PT20,63.9,246373,"3,760.66","2,564.61","569,590",925,0,
2009,PT,PT20,64.9,246670,"3,729.30","2,720.39","525,483",893,0,
2010,PT,PT20,64.4,246900,"3,835.78","2,712.17","552,975",882,0,
2011,PT,PT20,64,246757,"3,760.34","2,727.23","505,671",671,0,
2012,PT,PT20,63,247194,"3,610.39","2,622.87",:,853,0,
2013,PT,PT20,63.1,247549,"3,663.07","2,505.94","423,512",933,0,
2014,PT,PT20,63.5,247440,"3,706.26","2,558.53",:,835,0,
2015,PT,PT20,65.3,246353,"3,829.68","2,562.65","586,879","1,117",0,
2016,PT,PT20,65.1,245766,"3,961.71","2,624.73","694,568","1,373",0,
2017,PT,PT20,62.6,245283,"4,128.06","2,703.46","817,715","1,619",0,
2007,PT,PT30,64,261079,"4,305.81",:,"863,231","1,289",0,
2008,PT,PT30,63.9,263446,"4,448.49","2,665.56","820,630","1,291",0,
2009,PT,PT30,64.9,265138,"4,335.29","2,873.89","940,440","1,240",0,
2010,PT,PT30,64.4,266715,"4,410.90","2,765.48","910,524","1,173",0,
2011,PT,PT30,64,267965,"4,367.16","2,686.09","758,029","1,218",0,
2012,PT,PT30,63,264236,"3,973.52","2,558.26",:,"1,170",0,
2013,PT,PT30,63.1,263091,"4,031.38","2,455.58","657,045","1,249",0,
2014,PT,PT30,63.5,261313,"4,124.22","2,474.95",:,"1,299",0,
2015,PT,PT30,65.3,258686,"4,237.07","2,447.30","758,493","1,381",0,
2016,PT,PT30,65.1,256424,"4,400.75","2,498.42","888,792","1,583",0,
2017,PT,PT30,62.6,254876,"4,607.71","2,534.42","899,894","1,704",0,
2007,RO,RO11,61.2,2729256,"15,357.72",:,"2,214,141",188,0,
2008,RO,RO11,61.7,2724176,"16,689.58","8,489.13","2,242,353",340,0,
2009,RO,RO11,63.2,2721468,"14,444.10","8,856.54","1,860,596",426,1,
2010,RO,RO11,64.2,2719719,"14,365.98","7,243.17","1,627,132",542,1,
2011,RO,RO11,64.7,2717532,"14,401.48","8,613.95","1,795,668",498,1,
2012,RO,RO11,64.4,2598877,"15,094.88","8,647.40","1,814,262",458,1,
2013,RO,RO11,65.1,2594823,"16,146.40","8,445.09","1,806,548",512,1,
2014,RO,RO11,65.5,2590220,"17,251.85","9,546.82","1,953,811",586,1,
2015,RO,RO11,66.6,2585543,"18,370.79","10,322.03","2,263,757",735,1,
2016,RO,RO11,65.6,2576567,"20,065.01","10,502.70","2,584,252",931,1,
2017,RO,RO11,69.7,2568730,"22,114.37","12,308.57","2,759,318","1,322",1,
2007,RO,RO12,61.2,2524176,"15,110.34",:,"2,537,224",:,0,
2008,RO,RO12,61.7,2524628,"16,486.30","8,222.65","2,590,756",:,0,
2009,RO,RO12,63.2,2526062,"14,255.98","8,817.95","2,236,836",:,0,
2010,RO,RO12,64.2,2524418,"14,296.83","7,190.31","2,235,704",:,0,
2011,RO,RO12,64.7,2522692,"14,610.26","8,592.26","2,769,959",89,0,
2012,RO,RO12,64.4,2360578,"15,094.24","8,568.92","3,039,357",88,0,
2013,RO,RO12,65.1,2359405,"15,872.48","8,295.02","3,342,321",270,0,
2014,RO,RO12,65.5,2355312,"16,478.48","9,292.58","3,473,897",275,0,
2015,RO,RO12,66.6,2350147,"17,698.44","9,632.13","4,093,020",299,0,
2016,RO,RO12,65.6,2341964,"19,255.04","9,970.35","4,323,108",319,0,
2017,RO,RO12,69.7,2332935,"21,224.80","11,578.81","4,744,183",240,0,
2007,RO,RO21,61.2,3727910,"13,800.72",:,"1,479,199",126,0,
2008,RO,RO21,61.7,3722553,"15,519.27","7,841.66","1,495,092",144,0,
2009,RO,RO21,63.2,3717621,"13,430.26","8,563.27","1,360,098",148,0,
2010,RO,RO21,64.2,3712396,"13,440.99","6,941.72","1,227,386",160,0,
2011,RO,RO21,64.7,3703283,"13,286.08","8,504.49","1,381,297",135,0,
2012,RO,RO21,64.4,3294204,"13,700.72","8,397.51","1,486,703",195,0,
2013,RO,RO21,65.1,3278798,"14,724.18","7,870.47","1,405,345",271,0,
2014,RO,RO21,65.5,3273367,"15,116.77","8,993.91","1,493,390",287,0,
2015,RO,RO21,66.6,3269598,"16,070.14","8,800.59","1,690,918",370,0,
2016,RO,RO21,65.6,3256734,"17,179.65","9,051.65","1,897,576",646,1,
2017,RO,RO21,69.7,3239612,"19,041.80","10,658.89","1,988,838",780,1,
2007,RO,RO22,61.2,2834335,"13,791",:,"4,749,803",:,0,
2008,RO,RO22,61.7,2825756,"15,177.80","7,787.88","4,904,364",:,0,
2009,RO,RO22,63.2,2818346,"13,239.62","8,656.44","4,134,445",:,0,
2010,RO,RO22,64.2,2811218,"13,365.92","7,008.25","3,483,171",:,0,
2011,RO,RO22,64.7,2802532,"14,533.41","8,450.12","3,784,474",:,0,
2012,RO,RO22,64.4,2538949,"14,425.66","8,497.49","4,140,807",:,0,
2013,RO,RO22,65.1,2523354,"16,201.09","7,847.24","3,848,602",:,0,
2014,RO,RO22,65.5,2509094,"16,937.48","8,969.50","3,968,252",:,0,
2015,RO,RO22,66.6,2492352,"17,134.10","8,956.39","4,545,259",:,0,
2016,RO,RO22,65.6,2469868,"17,788.56","8,944.62","4,971,396",:,0,
2017,RO,RO22,69.7,2446734,"19,627.29","9,898.96","5,249,513",:,0,
2007,RO,RO32,61.2,2232162,"30,690.35",:,"931,866","2,914",0,
2008,RO,RO32,61.7,2242002,"38,342.48","16,952.54","1,011,300","3,351",0,
2009,RO,RO32,63.2,2253093,"30,938.08","21,235.57","844,700","3,207",0,
2010,RO,RO32,64.2,2261698,"31,523.69","17,031.25","912,972","3,458",0,
2011,RO,RO32,64.7,2267419,"34,882.43","19,136.48","975,935","3,649",0,
2012,RO,RO32,64.4,2279145,"35,697.81","19,101.84","1,014,925","3,716",0,
2013,RO,RO32,65.1,2282244,"38,769.27","18,121.57","1,059,478","3,776",0,
2014,RO,RO32,65.5,2282968,"40,290.50","20,013.99","1,123,459","4,111",0,
2015,RO,RO32,66.6,2284200,"44,514.10","23,104.91","1,259,077","4,599",0,
2016,RO,RO32,65.6,2288203,"46,261.83","22,697.89","1,402,718","5,450",0,
2017,RO,RO32,69.7,2287347,"50,552.67","25,884.78","1,467,732","6,346",0,
2007,RO,RO41,61.2,2285733,"10,232.95",:,"1,603,152",5,0,
2008,RO,RO41,61.7,2270776,"11,393.59","5,851.77","1,665,924",13,0,
2009,RO,RO41,63.2,2257752,"9,977.53","6,386.95","1,398,752",15,0,
2010,RO,RO41,64.2,2246033,"9,967.50","5,181.44","1,250,282",24,0,
2011,RO,RO41,64.7,2232814,"9,891","6,072.93","1,413,998",32,0,
2012,RO,RO41,64.4,2067357,"10,360.12","6,079.83","1,403,000",30,0,
2013,RO,RO41,65.1,2048702,"10,830.80","5,732.36","1,459,775",40,0,
2014,RO,RO41,65.5,2033360,"10,905.13","6,343.06","1,449,731",139,1,
2015,RO,RO41,66.6,2015766,"11,724.60","6,289.53","1,612,981",117,1,
2016,RO,RO41,65.6,1993482,"12,327.98","6,258.09","1,684,803",222,1,
2017,RO,RO41,69.7,1973140,"13,622.94","7,030.62","1,840,446",447,1,
2007,RO,RO42,61.2,1926707,"12,620.13",:,"1,673,760",471,0,
2008,RO,RO42,61.7,1926700,"14,501.50","7,393.70","1,685,969",449,0,
2009,RO,RO42,63.2,1924488,"12,388.98","7,944.17","1,412,904",493,1,
2010,RO,RO42,64.2,1919434,"12,697.95","6,372.56","1,254,705",583,1,
2011,RO,RO42,64.7,1913831,"13,013.29","7,703.29","1,404,924",614,1,
2012,RO,RO42,64.4,1828087,"12,855.49","7,757.47","1,423,596",523,1,
2013,RO,RO42,65.1,1824598,"13,634.31","7,794.30","1,467,043",380,1,
2014,RO,RO42,65.5,1817895,"13,826.18","8,680.97","1,524,408",369,1,
2015,RO,RO42,66.6,1811755,"15,174.36","8,882.08","1,868,152",467,1,
2016,RO,RO42,65.6,1802212,"16,538.66","9,209.32","1,904,314",589,1,
2017,RO,RO42,69.7,1792503,"18,212.73","10,444.82","1,865,382",824,1,
2007,SE,SE11,69.3,1918104,"104,220.41",:,"6,271,416","9,837",0,
2008,SE,SE11,70.8,1949516,"103,389.12","49,749.19","6,285,897","9,990",0,
2009,SE,SE11,70.5,1981263,"96,061.68","50,632.75","6,197,277","9,019",0,
2010,SE,SE11,72.4,2019182,"111,351.51","45,919.15","6,678,050","9,493",0,
2011,SE,SE11,71.9,2054343,"124,744.62","54,856.72","6,953,085","10,618",0,
2012,SE,SE11,71.7,2091473,"131,744.29","60,336.77","7,151,761","10,991",0,
2013,SE,SE11,72.9,2127006,"135,940.73","65,158.37","7,379,346","11,486",0,
2014,SE,SE11,73.1,2163042,"137,172.62","68,728.78","7,833,287","12,422",0,
2015,SE,SE11,72.7,2198044,"143,357.90","69,263.72","8,433,620","12,826",0,
2016,SE,SE11,72,2231439,"147,048.68","70,778.64","8,701,056","13,616",0,
2017,SE,SE11,74.9,2269060,"148,157.26","74,659.46","8,834,941","14,555",0,
2007,SE,SE12,69.3,1524509,"51,771.70",:,"4,545,824","1,084",0,
2008,SE,SE12,70.8,1534529,"50,894.62","29,659.25","4,265,265","1,333",0,
2009,SE,SE12,70.5,1545587,"44,616.10","29,935.10","4,222,556","1,347",0,
2010,SE,SE12,72.4,1558292,"53,467.08","26,700.76","4,305,455","1,325",0,
2011,SE,SE12,71.9,1569248,"58,776.56","31,529.36","4,460,686","1,364",0,
2012,SE,SE12,71.7,1578097,"61,728.04","34,967.33","4,352,138","1,243",0,
2013,SE,SE12,72.9,1589821,"63,375.42","37,274.04","4,512,718","1,170",0,
2014,SE,SE12,73.1,1605347,"62,076.99","38,408.95","4,639,840",942,0,
2015,SE,SE12,72.7,1621566,"63,723.92","38,587.35","4,940,505","1,019",0,
2016,SE,SE12,72,1638825,"66,036.44","38,952.91","5,021,899","1,148",0,
2017,SE,SE12,74.9,1664145,"68,501.89","40,565.64","5,144,394","1,195",0,
2007,SE,SE21,69.3,802247,"27,328.98",:,"4,434,629",330,0,
2008,SE,SE21,70.8,805353,"27,168.40","15,624.59","4,008,521",340,0,
2009,SE,SE21,70.5,807871,"22,468.40","15,671.23","4,353,702",304,0,
2010,SE,SE21,72.4,810066,"26,887.24","13,688.92","4,336,717",318,0,
2011,SE,SE21,71.9,811611,"29,652.15","16,198.09","4,238,924",346,0,
2012,SE,SE21,71.7,812948,"30,719.17","17,938.27","4,308,875",352,0,
2013,SE,SE21,72.9,815792,"31,671.90","18,986.22","4,298,133",368,0,
2014,SE,SE21,73.1,819426,"31,023.36","19,311.68","4,431,853",397,0,
2015,SE,SE21,72.7,826243,"32,213.15","19,464.53","4,658,697",419,0,
2016,SE,SE21,72,834276,"33,556.53","19,530.87","4,944,621",438,0,
2017,SE,SE21,74.9,847667,"34,724.12","20,451.06","5,116,765",493,0,
2007,SE,SE22,69.3,1335936,"47,928.75",:,"4,470,353","1,235",0,
2008,SE,SE22,70.8,1351257,"45,342.05","26,858.63","3,990,095","1,172",0,
2009,SE,SE22,70.5,1367017,"39,362.56","27,123.51","4,023,548","1,034",0,
2010,SE,SE22,72.4,1383653,"46,987.48","24,522.42","4,098,619","1,088",0,
2011,SE,SE22,71.9,1396556,"50,650.29","28,826.29","4,202,895","1,284",0,
2012,SE,SE22,71.7,1405912,"52,961.91","31,712.55","4,173,029","1,365",0,
2013,SE,SE22,72.9,1415403,"54,739.99","33,563.38","4,334,816","1,376",0,
2014,SE,SE22,73.1,1426826,"54,627.30","34,667.86","4,562,473","1,348",0,
2015,SE,SE22,72.7,1443065,"56,822.87","34,791.23","4,905,092","1,396",0,
2016,SE,SE22,72,1459880,"58,374.34","35,151.12","5,148,213","1,434",0,
2017,SE,SE22,74.9,1483018,"60,835.87","36,628.23","5,098,520","1,418",0,
2007,SE,SE23,69.3,1827143,"68,812.12",:,"7,745,744","2,546",0,
2008,SE,SE23,70.8,1838691,"68,792.53","38,061.97","7,541,027","2,575",0,
2009,SE,SE23,70.5,1851702,"59,203.71","38,571.01","7,912,524","2,208",0,
2010,SE,SE23,72.4,1866283,"70,628.41","34,212.50","7,778,632","2,419",0,
2011,SE,SE23,71.9,1879781,"77,373","40,435.97","7,910,092","2,839",0,
2012,SE,SE23,71.7,1892328,"79,963.64","44,968.44","7,992,959","2,834",0,
2013,SE,SE23,72.9,1904563,"83,227.82","48,097.10","8,309,809","2,929",0,
2014,SE,SE23,73.1,1921924,"82,912.58","49,549.56","8,754,798","2,989",0,
2015,SE,SE23,72.7,1942677,"86,997.80","49,990.44","9,043,248","3,081",1,
2016,SE,SE23,72,1963466,"90,086.59","50,502.27","9,013,289","3,190",1,
2017,SE,SE23,74.9,1992116,"93,182.95","53,183.69","9,215,034","3,385",1,
2007,SE,SE31,69.3,824853,"26,691.67",:,"5,346,406",59,0,
2008,SE,SE31,70.8,825000,"26,263.50","15,053.24","4,937,588",59,0,
2009,SE,SE31,70.5,825149,"22,340.16","15,172.44","4,976,628",42,0,
2010,SE,SE31,72.4,825931,"26,824.52","13,427.60","5,026,410",41,0,
2011,SE,SE31,71.9,826820,"28,805.32","15,766.83","4,787,284",54,0,
2012,SE,SE31,71.7,825431,"30,118.07","17,411.79","4,711,593",49,0,
2013,SE,SE31,72.9,826272,"30,570.07","18,446.02","4,725,331",54,0,
2014,SE,SE31,73.1,829134,"29,905.94","18,804.37","4,892,377",:,0,
2015,SE,SE31,72.7,833585,"30,449.77","18,749.90","4,859,166",:,0,
2016,SE,SE31,72,838747,"31,686.08","18,696.21","5,099,013",:,0,
2017,SE,SE31,74.9,848451,"32,271.86","19,306.57","5,156,018",:,0,
2007,SE,SE32,69.3,370998,"12,178.04",:,"2,078,799",355,0,
2008,SE,SE32,70.8,370386,"12,474.85","6,857.22","2,119,033",343,0,
2009,SE,SE32,70.5,370269,"11,077.28","6,842.60","2,035,246",290,0,
2010,SE,SE32,72.4,369708,"13,479.69","6,071.42","2,012,506",306,0,
2011,SE,SE32,71.9,369316,"14,076.35","7,081.04","1,946,520",328,0,
2012,SE,SE32,71.7,368454,"14,521.02","7,787.88","2,012,731",330,0,
2013,SE,SE32,72.9,368182,"14,629.62","8,284.49","2,068,241",339,0,
2014,SE,SE32,73.1,368617,"14,268.45","8,433.91","2,205,669",367,0,
2015,SE,SE32,72.7,369826,"14,374.70","8,469.64","2,350,241",367,0,
2016,SE,SE32,72,371273,"14,621.42","8,433.42","2,346,147",387,0,
2017,SE,SE32,74.9,374245,"14,925.64","8,709.78","2,368,217",409,0,
2007,SE,SE33,69.3,509467,"17,834.24",:,"2,511,703","1,083",0,
2008,SE,SE33,70.8,508195,"18,326.82","9,277.20","2,473,336","1,132",0,
2009,SE,SE33,70.5,507489,"14,784.79","9,390.96","2,351,993","1,077",0,
2010,SE,SE33,72.4,507567,"19,739.77","8,352.87","2,478,914","1,122",0,
2011,SE,SE33,71.9,507895,"21,236.69","9,903.22","2,578,752","1,229",0,
2012,SE,SE33,71.7,508212,"21,943.29","11,027.71","2,583,431","1,279",0,
2013,SE,SE33,72.9,508854,"21,949.79","11,796.62","2,639,343","1,303",0,
2014,SE,SE33,73.1,510548,"21,046.64","12,132.58","2,699,362","1,376",0,
2015,SE,SE33,72.7,512349,"21,152.51","12,190.69","2,808,354","1,386",0,
2016,SE,SE33,72,513111,"21,633.08","12,095.04","2,962,645","1,394",0,
2017,SE,SE33,74.9,516451,"22,518.08","12,453.51","3,110,610","1,479",0,
2007,SI,SI04,59.6,:,"19,561.79",:,"1,367,224",752,0,
2008,SI,SI04,60.2,920512,"21,130.50","10,758.07","1,601,587",826,0,
2009,SI,SI04,62.9,936526,"20,309.96","12,024.84","1,688,410",717,0,
2010,SI,SI04,64.7,947302,"20,364.28","11,771.39","1,555,429",693,0,
2011,SI,SI04,64.6,951683,"20,608.80","11,712.69","1,539,070",680,0,
2012,SI,SI04,62.9,956300,"20,176.40","11,674.35","1,547,669",585,0,
2013,SI,SI04,61.6,961623,"20,231.87","11,211.51","1,498,960",634,0,
2014,SI,SI04,62.7,966376,"21,012.59","11,029.58","1,431,204",653,0,
2015,SI,SI04,60.3,969329,"21,771.74","11,270.87","1,587,578",716,0,
2016,SI,SI04,60.6,971995,"22,723.81","11,558.08","1,645,801",700,0,
2017,SI,SI04,59.2,974736,"24,305.58","12,136.61","1,766,985",840,0,
2007,SK,SK01,69.6,592062,"15,057.73","12,913.96","767,395",987,0,
2008,SK,SK01,70,592824,"17,342.13","6,891.40","845,145","1,100",0,
2009,SK,SK01,69.4,594966,"17,954.73","8,199.72","753,965",853,0,
2010,SK,SK01,69.7,597999,"18,990.81","8,687.10","694,889",822,0,
2011,SK,SK01,69.5,599931,"19,597.25","8,343.69","731,829",782,0,
2012,SK,SK01,67,606537,"19,870.17","8,625.01","884,128",673,0,
2013,SK,SK01,68.7,612682,"20,805.17","9,126.03","987,536",665,0,
2014,SK,SK01,66.4,618380,"21,113.47","9,218.46","961,473",663,0,
2015,SK,SK01,67.2,625167,"22,282.56","9,725","1,157,367",774,1,
2016,SK,SK01,66.6,633288,"22,914.42","10,026.27","1,357,988",868,1,
2017,SK,SK01,65.7,641892,"23,727.20","10,406.43","1,412,506",961,1,
2007,SK,SK04,69.6,1582322,"11,230.44",:,"1,702,340",214,0,
2008,SK,SK04,70,1586694,"13,549.66","7,467.18","1,901,530",291,0,
