freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CNMIGRATRT;CH07,7.9 ,11.3 ,12.0 ,8.7 ,12.6 ,9.4 ,14.3 ,14.8 ,11.0 ,5.5 ,7.4 ,-0.6 
A;CNMIGRATRT;CY00,13.7 ,19.9 ,21.1 ,22.0 ,19.2 ,21.3 ,-0.7 ,-14.0 ,-17.4 ,-2.4 ,2.9 ,7.2 
A;CNMIGRATRT;CZ01,3.2 ,17.4 ,13.9 ,9.4 ,2.9 ,4.6 ,2.7 ,-4.3 ,10.7 ,4.8 ,8.1 ,8.5 
A;CNMIGRATRT;CZ02,14.1 ,20.6 ,21.3 ,11.6 ,11.8 ,9.8 ,8.4 ,7.1 ,8.2 ,7.6 ,7.5 ,8.7 
A;CNMIGRATRT;CZ03,4.0 ,7.0 ,8.3 ,1.9 ,0.2 ,0.9 ,1.3 ,1.4 ,1.9 ,2.3 ,2.4 ,3.0 
A;CNMIGRATRT;CZ04,-1.1 ,7.2 ,2.5 ,-2.2 ,-1.5 ,-0.7 ,-1.5 ,-1.3 ,-1.1 ,-1.0 ,-1.2 ,0.0 
A;CNMIGRATRT;CZ05,2.8 ,4.8 ,4.6 ,0.5 ,0.4 ,0.0 ,-0.5 ,-0.5 ,0.0 ,0.4 ,0.3 ,1.5 
A;CNMIGRATRT;CZ06,2.1 ,5.8 ,3.9 ,2.0 ,1.3 ,0.8 ,0.6 ,-0.1 ,0.4 ,0.5 ,0.9 ,1.8 
A;CNMIGRATRT;CZ07,0.2 ,1.5 ,-0.1 ,-0.7 ,-0.8 ,-0.5 ,-1.1 ,-1.1 ,-0.9 ,-0.5 ,-1.2 ,-0.6 
A;CNMIGRATRT;CZ08,-1.7 ,-0.8 ,-0.7 ,-2.8 ,-3.5 ,-2.0 ,-2.2 ,-2.5 ,-2.5 ,-2.2 ,-1.9 ,-2.1 
A;CNMIGRATRT;DE11,-0.8 ,0.2 ,-0.1 ,-1.0 ,0.8 ,4.1 ,6.5 ,7.0 ,8.9 ,15.4 ,6.5 ,6.6 
A;CNMIGRATRT;DE12,1.4 ,2.6 ,1.4 ,1.7 ,2.8 ,4.5 ,7.2 ,7.6 ,7.8 ,16.2 ,6.9 ,6.9 
A;CNMIGRATRT;DE13,1.5 ,1.7 ,0.3 ,1.0 ,2.3 ,4.8 ,6.5 ,6.9 ,8.8 ,16.0 ,7.0 ,7.1 
