"TIME","GEO","TRA_MEAS","UNIT","Value","Flag and Footnotes"
"2007","ES53","Passengers carried (arrival)","Thousand passengers","15,276",""
"2007","ES61","Passengers carried (arrival)","Thousand passengers","11,062",""
"2007","ES62","Passengers carried (arrival)","Thousand passengers","996",""
"2007","ES63","Passengers carried (arrival)","Thousand passengers",":",""
"2007","ES64","Passengers carried (arrival)","Thousand passengers","162",""
"2007","ES70","Passengers carried (arrival)","Thousand passengers","16,858",""
"2007","FR10","Passengers carried (arrival)","Thousand passengers","42,969",""
"2007","FRB0","Passengers carried (arrival)","Thousand passengers","44",""
"2007","FRC1","Passengers carried (arrival)","Thousand passengers","7",""
"2007","FRC2","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FRD1","Passengers carried (arrival)","Thousand passengers","98",""
"2007","FRD2","Passengers carried (arrival)","Thousand passengers","45",""
"2007","FRE1","Passengers carried (arrival)","Thousand passengers","525",""
"2007","FRE2","Passengers carried (arrival)","Thousand passengers","1,076",""
"2007","FRF1","Passengers carried (arrival)","Thousand passengers","2,978",""
"2007","FRF2","Passengers carried (arrival)","Thousand passengers","2",""
"2007","FRF3","Passengers carried (arrival)","Thousand passengers","157",""
"2007","FRG0","Passengers carried (arrival)","Thousand passengers","1,269",""
"2007","FRH0","Passengers carried (arrival)","Thousand passengers","945",""
"2007","FRI1","Passengers carried (arrival)","Thousand passengers","2,668",""
"2007","FRI2","Passengers carried (arrival)","Thousand passengers","205",""
"2007","FRI3","Passengers carried (arrival)","Thousand passengers","162",""
"2007","FRJ1","Passengers carried (arrival)","Thousand passengers","1,218",""
"2007","FRJ2","Passengers carried (arrival)","Thousand passengers","3,351",""
"2007","FRK1","Passengers carried (arrival)","Thousand passengers","279",""
"2007","FRK2","Passengers carried (arrival)","Thousand passengers","3,987",""
"2007","FRL0","Passengers carried (arrival)","Thousand passengers","8,993",""
"2007","FRM0","Passengers carried (arrival)","Thousand passengers","1,246",""
"2007","FRY1","Passengers carried (arrival)","Thousand passengers","1,110",""
"2007","FRY2","Passengers carried (arrival)","Thousand passengers","799",""
"2007","FRY3","Passengers carried (arrival)","Thousand passengers","190",""
"2007","FRY4","Passengers carried (arrival)","Thousand passengers","823",""
"2007","FRY5","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FR2","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FR3","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FR4","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FR5","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FR6","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FR7","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FR8","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FRA","Passengers carried (arrival)","Thousand passengers",":",""
"2007","HR03","Passengers carried (arrival)","Thousand passengers",":",""
"2007","HR04","Passengers carried (arrival)","Thousand passengers",":",""
"2007","ITC1","Passengers carried (arrival)","Thousand passengers","1,741",""
"2007","ITC2","Passengers carried (arrival)","Thousand passengers","5",""
"2007","ITC3","Passengers carried (arrival)","Thousand passengers","561",""
"2007","ITC4","Passengers carried (arrival)","Thousand passengers","19,798",""
"2007","ITH1","Passengers carried (arrival)","Thousand passengers","37",""
"2007","ITH3","Passengers carried (arrival)","Thousand passengers","5,976",""
"2007","ITH4","Passengers carried (arrival)","Thousand passengers","367",""
"2007","ITH5","Passengers carried (arrival)","Thousand passengers","2,790",""
"2007","ITI1","Passengers carried (arrival)","Thousand passengers","2,791",""
"2007","ITI2","Passengers carried (arrival)","Thousand passengers",":",""
"2007","ITI3","Passengers carried (arrival)","Thousand passengers","242",""
"2007","ITI4","Passengers carried (arrival)","Thousand passengers","18,874",""
"2007","ITF1","Passengers carried (arrival)","Thousand passengers","181",""
"2007","ITF3","Passengers carried (arrival)","Thousand passengers","2,815",""
"2007","ITF4","Passengers carried (arrival)","Thousand passengers","1,646",""
"2007","ITF6","Passengers carried (arrival)","Thousand passengers","992",""
"2007","ITG1","Passengers carried (arrival)","Thousand passengers","5,685",""
"2007","ITG2","Passengers carried (arrival)","Thousand passengers","2,818",""
"2007","ITZZ","Passengers carried (arrival)","Thousand passengers",":",""
"2007","CY00","Passengers carried (arrival)","Thousand passengers","3,510",""
"2007","LV00","Passengers carried (arrival)","Thousand passengers","1,574",""
"2007","LT01","Passengers carried (arrival)","Thousand passengers","857",""
"2007","LT02","Passengers carried (arrival)","Thousand passengers","239",""
"2007","LU00","Passengers carried (arrival)","Thousand passengers","812",""
"2007","HU11","Passengers carried (arrival)","Thousand passengers","4,190",""
"2007","HU32","Passengers carried (arrival)","Thousand passengers",":",""
"2007","MT00","Passengers carried (arrival)","Thousand passengers","1,486",""
"2007","NL13","Passengers carried (arrival)","Thousand passengers","70",""
"2007","NL32","Passengers carried (arrival)","Thousand passengers","23,850",""
"2007","NL33","Passengers carried (arrival)","Thousand passengers","534",""
"2007","NL41","Passengers carried (arrival)","Thousand passengers","717",""
"2007","NL42","Passengers carried (arrival)","Thousand passengers","68",""
"2007","AT12","Passengers carried (arrival)","Thousand passengers","9,351",""
"2007","AT21","Passengers carried (arrival)","Thousand passengers","234",""
"2007","AT22","Passengers carried (arrival)","Thousand passengers","458",""
"2007","AT31","Passengers carried (arrival)","Thousand passengers","365",""
"2007","AT32","Passengers carried (arrival)","Thousand passengers","955",""
"2007","AT33","Passengers carried (arrival)","Thousand passengers","419",""
"2007","PL21","Passengers carried (arrival)","Thousand passengers","1,515",""
"2007","PL22","Passengers carried (arrival)","Thousand passengers","890",""
"2007","PL41","Passengers carried (arrival)","Thousand passengers","433",""
"2007","PL42","Passengers carried (arrival)","Thousand passengers",":",""
"2007","PL51","Passengers carried (arrival)","Thousand passengers","627",""
"2007","PL61","Passengers carried (arrival)","Thousand passengers",":",""
"2007","PL63","Passengers carried (arrival)","Thousand passengers","843",""
"2007","PL71","Passengers carried (arrival)","Thousand passengers",":",""
"2007","PL82","Passengers carried (arrival)","Thousand passengers",":",""
"2007","PL91","Passengers carried (arrival)","Thousand passengers","4,606",""
"2007","PT11","Passengers carried (arrival)","Thousand passengers","2,018",""
"2007","PT15","Passengers carried (arrival)","Thousand passengers","2,741",""
"2007","PT16","Passengers carried (arrival)","Thousand passengers",":",""
"2007","PT17","Passengers carried (arrival)","Thousand passengers","6,764",""
"2007","PT18","Passengers carried (arrival)","Thousand passengers",":",""
"2007","PT20","Passengers carried (arrival)","Thousand passengers","934",""
"2007","PT30","Passengers carried (arrival)","Thousand passengers","1,289",""
"2007","RO11","Passengers carried (arrival)","Thousand passengers","188",""
"2007","RO12","Passengers carried (arrival)","Thousand passengers",":",""
"2007","RO21","Passengers carried (arrival)","Thousand passengers",":",""
"2007","RO22","Passengers carried (arrival)","Thousand passengers",":",""
"2007","RO32","Passengers carried (arrival)","Thousand passengers","2,914",""
"2007","RO41","Passengers carried (arrival)","Thousand passengers",":",""
"2007","RO42","Passengers carried (arrival)","Thousand passengers","471",""
"2007","SI04","Passengers carried (arrival)","Thousand passengers","752",""
"2007","SK01","Passengers carried (arrival)","Thousand passengers","987",""
"2007","SK04","Passengers carried (arrival)","Thousand passengers","214",""
"2007","SKZZ","Passengers carried (arrival)","Thousand passengers",":",""
"2007","FI19","Passengers carried (arrival)","Thousand passengers","660",""
"2007","FI1B","Passengers carried (arrival)","Thousand passengers","6,566",""
"2007","FI1C","Passengers carried (arrival)","Thousand passengers","162",""
"2007","FI1D","Passengers carried (arrival)","Thousand passengers","1,231",""
"2007","FI20","Passengers carried (arrival)","Thousand passengers","32",""
"2007","FIZZ","Passengers carried (arrival)","Thousand passengers",":",""
"2007","SE11","Passengers carried (arrival)","Thousand passengers","9,837",""
"2007","SE12","Passengers carried (arrival)","Thousand passengers","1,084",""
"2007","SE21","Passengers carried (arrival)","Thousand passengers","330",""
"2007","SE22","Passengers carried (arrival)","Thousand passengers","1,235",""
"2007","SE23","Passengers carried (arrival)","Thousand passengers","2,546",""
"2007","SE31","Passengers carried (arrival)","Thousand passengers","59",""
"2007","SE32","Passengers carried (arrival)","Thousand passengers","355",""
"2007","SE33","Passengers carried (arrival)","Thousand passengers","1,083",""
